855	-368	-710	-1327	-1373	285	1143	224	-280	-567	-648	87	93	19	8
942	-373	-400	-1040	-740	149	1079	156	-247	-537	-566	78	95	12	9
942	-373	-400	-1040	-740	149	1079	156	-247	-537	-566	78	95	12	9
982	-409	-177	-841	-539	46	1039	124	-245	-607	-511	54	94	20	4
996	-433	-68	-685	-727	-31	1040	61	-227	-627	-477	94	98	22	10
996	-433	-68	-685	-727	-31	1040	61	-227	-627	-477	94	98	22	10
968	-386	-126	-422	-1028	-152	1021	-58	-169	-469	-476	95	95	21	5
935	-283	-274	-94	-1059	-226	994	-178	-126	-240	-488	65	96	20	7
935	-283	-274	-94	-1059	-226	994	-178	-126	-240	-488	65	96	20	7
939	-177	-400	171	-912	-237	982	-253	-88	-38	-493	-15	91	19	8
1000	-130	-396	207	-744	-184	982	-261	-64	17	-520	-51	89	24	8
1000	-130	-396	207	-744	-184	982	-261	-64	17	-520	-51	89	24	8
1053	-134	-278	122	-624	-103	978	-238	-52	-31	-527	-62	91	20	6
1084	-128	-133	71	-506	3	969	-203	-37	-119	-531	-65	92	21	6
1084	-128	-133	71	-506	3	969	-203	-37	-119	-531	-65	88	16	11
1077	-79	11	5	-441	112	954	-189	-34	-161	-594	-75	86	25	8
1077	-79	11	5	-441	112	954	-189	-34	-161	-594	-75	86	25	8
1046	-29	69	-68	-471	164	965	-158	-45	-135	-563	-90	82	17	4
1012	25	86	-224	-554	194	975	-113	-57	-147	-582	-87	75	23	11
1012	25	86	-224	-554	194	975	-113	-57	-147	-582	-87	75	23	11
964	80	43	-439	-617	202	992	-58	-69	-136	-576	-87	80	20	10
930	104	-36	-439	-617	202	998	-24	-87	-150	-561	-82	77	23	5
930	104	-36	-609	-616	187	998	-24	-87	-150	-561	-82	74	19	9
907	103	-133	-755	-591	159	997	-11	-116	-164	-563	-87	77	21	11
907	103	-133	-755	-591	159	997	-11	-116	-164	-563	-87	77	21	11
891	68	-241	-855	-540	128	995	-20	-164	-174	-548	-92	69	21	8
880	26	-297	-853	-513	105	989	-30	-190	-199	-523	-92	66	20	9
880	26	-297	-853	-513	105	989	-30	-190	-199	-523	-92	66	20	9
867	-24	-324	-788	-520	87	972	-48	-211	-279	-521	-84	60	16	9
851	-71	-334	-788	-520	87	968	-62	-219	-333	-504	-79	59	21	11
851	-71	-334	-664	-554	70	968	-62	-219	-333	-504	-79	59	22	14
842	-120	-342	-583	-586	57	967	-68	-222	-348	-491	-71	57	20	11
842	-120	-342	-583	-586	57	967	-68	-222	-348	-491	-71	57	20	11
846	-150	-351	-521	-603	42	978	-68	-226	-361	-469	-78	53	24	13
861	-172	-358	-473	-618	32	984	-67	-235	-334	-468	-87	51	26	12
861	-172	-358	-473	-618	32	984	-67	-235	-334	-468	-87	51	26	12
889	-190	-355	-442	-609	25	990	-68	-247	-293	-466	-99	46	23	12
909	-200	-341	-405	-608	16	996	-68	-242	-262	-469	-105	49	26	12
909	-200	-341	-405	-608	16	996	-68	-242	-262	-469	-105	49	26	12
926	-203	-321	-347	-610	7	1000	-66	-239	-238	-475	-114	44	22	11
938	-190	-290	-241	-607	-3	990	-67	-221	-224	-500	-125	41	25	14
938	-190	-290	-241	-607	-3	990	-67	-221	-224	-500	-125	41	25	14
943	-174	-263	-158	-590	-7	983	-77	-198	-204	-528	-131	40	28	16
942	-160	-232	-105	-567	-24	973	-83	-183	-194	-546	-136	41	28	18
